id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365,calculated_host_listings_count
796476069779619310,401942966,Manhattan,Harlem,40.80703,-73.94557,Private room,30.0,18,365,1
796476747136417108,492417898,Bronx,Tremont,40.84304,-73.89229,Private room,30.0,5,365,3
796485344365174116,422319674,Manhattan,Harlem,40.82215657208843,-73.94660788294061,Private room,30.0,23,334,2
796500157243909076,10149317,Queens,Kew Gardens,40.70914,-73.82787,Private room,30.0,0,0,17
796542718936118514,81058572,Manhattan,Inwood,40.86744745976485,-73.92747269524095,Entire home/apt,30.0,6,87,1
796586843818916029,440233245,Queens,Cambria Heights,40.68633931781082,-73.73307349711865,Entire home/apt,30.0,1,103,5
796596570478214970,446220451,Queens,Rosedale,40.67400800407437,-73.73167387002601,Entire home/apt,30.0,24,364,1
796660992700511337,160354574,Brooklyn,Canarsie,40.64028538820242,-73.9154956041539,Entire home/apt,30.0,51,365,1
796927511764767418,61625798,Brooklyn,Canarsie,40.644761578139885,-73.89718874487257,Private room,30.0,32,217,4
796960449374949639,107434423,Manhattan,West Village,40.73461700000001,-74.00635439999999,Entire home/apt,30.0,0,211,1210
796973015167154994,483056418,Brooklyn,Bedford-Stuyvesant,40.67825,-73.94287,Private room,30.0,0,364,28
795129805832705812,8792814,Brooklyn,Bedford-Stuyvesant,40.69489249541429,-73.94485118949854,Private room,30.0,1,125,9
795151139193872895,89372393,Bronx,Williamsbridge,40.86987,-73.86234,Entire home/apt,30.0,8,321,1
795186991590914531,409793930,Staten Island,Arden Heights,40.548724238082734,-74.17054565920893,Entire home/apt,30.0,14,267,1
795449123169469966,3223938,Brooklyn,Bushwick,40.7010557248446,-73.92595890095346,Private room,30.0,1,364,560
795600421725758974,493903378,Queens,Springfield Gardens,40.67160780000001,-73.75674775767212,Private room,30.0,69,43,1
795672952188987474,259474660,Manhattan,East Harlem,40.79786,-73.93944,Entire home/apt,30.0,24,106,1
795720602919203501,53862397,Manhattan,SoHo,40.72610383728651,-74.00305614356603,Entire home/apt,30.0,1,0,1
795728060620513850,9067537,Manhattan,Tribeca,40.71686,-74.00633,Private room,30.0,1,53,1
795748488553923191,365526556,Brooklyn,Bedford-Stuyvesant,40.68743,-73.95347,Entire home/apt,1.0,59,328,1
796973696740712786,489756011,Manhattan,Midtown,40.76464957857206,-73.97654107092816,Entire home/apt,30.0,3,199,31
796986371882195221,483056418,Brooklyn,Bedford-Stuyvesant,40.67894560000001,-73.9437591,Private room,30.0,0,364,28
796987227532480934,489756011,Manhattan,Kips Bay,40.74390415388658,-73.98107202990417,Entire home/apt,30.0,5,351,31
796988135828055611,483056418,Brooklyn,Bedford-Stuyvesant,40.67894560000001,-73.9437591,Private room,30.0,1,364,28
796993840883802349,483056418,Brooklyn,Bedford-Stuyvesant,40.67817724272162,-73.9430190394167,Private room,30.0,0,364,28
796995020441290618,483056418,Brooklyn,Bedford-Stuyvesant,40.67933418963121,-73.9427693992298,Private room,30.0,1,364,28
797100390447847177,126413470,Queens,College Point,40.77551775643826,-73.84226407593127,Entire home/apt,2.0,83,102,1
797161677213334866,23722110,Brooklyn,Williamsburg,40.71415,-73.9653,Entire home/apt,31.0,11,42,2
797187969473896429,487732432,Manhattan,East Harlem,40.78611768409948,-73.95069416822939,Entire home/apt,30.0,20,165,21
797294766825705391,494371299,Brooklyn,Canarsie,40.64032283528141,-73.90373570793457,Entire home/apt,30.0,17,365,1
797342493959826831,487732432,Manhattan,Midtown,40.75369,-73.96562,Entire home/apt,30.0,7,13,21
797348073045001503,356050857,Manhattan,Hell's Kitchen,40.76587824381431,-73.99087932286305,Entire home/apt,30.0,0,365,1
800637165163553523,22541573,Manhattan,Upper West Side,40.78569,-73.9748,Entire home/apt,30.0,0,328,183
800711337366427145,445628412,Brooklyn,Williamsburg,40.7147178,-73.9543832,Entire home/apt,30.0,0,0,1
800738837396327435,17215474,Manhattan,Chinatown,40.71728848979679,-73.99591742144126,Private room,30.0,0,364,1
800784650035007772,495208457,Staten Island,Bull's Head,40.60909741012393,-74.15987169538148,Private room,30.0,7,270,1
800806183240345310,33656228,Brooklyn,Crown Heights,40.67579449999999,-73.9486109,Entire home/apt,30.0,9,0,1
800860095602948972,408979935,Manhattan,Chelsea,40.74987,-73.99716,Private room,1.0,109,92,37
800922424201638568,62634333,Queens,Flushing,40.76413780904863,-73.82433432560286,Entire home/apt,30.0,5,88,1
801004802797774782,32368779,Brooklyn,Bedford-Stuyvesant,40.6798168778581,-73.92026217455307,Private room,30.0,10,365,13
801010874739650352,32368779,Brooklyn,Bedford-Stuyvesant,40.68193664439512,-73.91849881216237,Private room,30.0,9,364,13
801014523878814505,32368779,Brooklyn,Bedford-Stuyvesant,40.67953553184095,-73.9188803549248,Entire home/apt,30.0,27,131,13
801017993216537396,67045498,Queens,Ridgewood,40.6994845,-73.896862,Entire home/apt,30.0,21,13,1
801220797184122272,107434423,Manhattan,Hell's Kitchen,40.760596,-73.99628,Entire home/apt,30.0,0,265,1210
797408025766016354,3223938,Brooklyn,Prospect-Lefferts Gardens,40.65658,-73.94829,Private room,30.0,0,166,560
797532770024273727,486007573,Manhattan,East Village,40.72476662257595,-73.98234167171435,Entire home/apt,30.0,3,304,5
797577207386252643,468195039,Queens,Glendale,40.70603,-73.87226,Entire home/apt,30.0,23,329,5
797749636813293902,401202937,Manhattan,Midtown,40.74829,-73.98667,Private room,1.0,35,214,71
797846717846008314,6950389,Brooklyn,Park Slope,40.6806,-73.97526,Private room,30.0,0,364,2
797894095534905728,318167350,Brooklyn,Williamsburg,40.71346276572074,-73.95720597452973,Entire home/apt,30.0,22,365,1
